p,n,m,w,Avg Time,Min Time,Max Time,Found feasible,Found infeasible,Avg Obj,Min Obj,Max Obj
20,5,10,0.1,0.009635996818542481,0.008505582809448242,0.011011362075805664,20,0,6.05,5.0,8.0
20,5,10,0.2,0.012481248378753662,0.01093149185180664,0.01399850845336914,20,0,6.8,5.0,9.0
20,5,10,0.3,0.0182655930519104,0.014960527420043945,0.027965068817138672,20,0,9.05,7.0,12.0
20,5,10,0.4,0.021925735473632812,0.016915321350097656,0.04188680648803711,20,0,10.4,8.0,13.0
20,5,10,0.5,0.029055511951446532,0.02090764045715332,0.061795711517333984,20,0,12.6,6.0,19.0
20,5,10,0.6,0.02797417640686035,0.023880720138549805,0.04591512680053711,20,0,19.5,13.0,27.0
20,5,10,0.7,0.026280546188354494,0.02393507957458496,0.028925418853759766,8,12,28.0,21.0,34.0
20,5,10,0.8,0.029740238189697267,0.02692866325378418,0.03192734718322754,0,20,-1,-1,-1
20,5,10,0.9,0.04015407562255859,0.03390860557556152,0.04986715316772461,0,20,-1,-1,-1
20,10,3,0.1,0.009752500057220458,0.007978677749633789,0.020433425903320312,20,0,14.2,11.0,16.0
20,10,3,0.2,0.010160577297210694,0.006978750228881836,0.016945600509643555,4,16,17.0,13.0,23.0
20,10,3,0.3,0.008649373054504394,0.007736682891845703,0.010943174362182617,0,20,-1,-1,-1
20,10,3,0.4,0.011191856861114503,0.008440256118774414,0.018949508666992188,0,20,-1,-1,-1
20,10,3,0.5,0.010772395133972167,0.008948564529418945,0.016954421997070312,0,20,-1,-1,-1
20,10,3,0.6,0.012498259544372559,0.009982585906982422,0.016954898834228516,0,20,-1,-1,-1
20,10,3,0.7,0.012033677101135254,0.010691642761230469,0.01376485824584961,0,20,-1,-1,-1
20,10,3,0.8,0.013780725002288819,0.010962963104248047,0.018949031829833984,0,20,-1,-1,-1
20,10,3,0.9,0.014461982250213622,0.011962890625,0.019947052001953125,0,20,-1,-1,-1
20,10,4,0.1,0.010313129425048828,0.007978439331054688,0.014961719512939453,20,0,14.05,11.0,16.0
20,10,4,0.2,0.0128149151802063,0.008975744247436523,0.017340660095214844,19,1,20.736842105263158,17.0,28.0
20,10,4,0.3,0.01505042314529419,0.011952877044677734,0.021941423416137695,1,19,24.0,24.0,24.0
20,10,4,0.4,0.01524801254272461,0.01196432113647461,0.02092742919921875,0,20,-1,-1,-1
20,10,4,0.5,0.016792964935302735,0.013627767562866211,0.024923086166381836,0,20,-1,-1,-1
20,10,4,0.6,0.018305671215057374,0.014960050582885742,0.02493429183959961,0,20,-1,-1,-1
20,10,4,0.7,0.021524786949157715,0.017229557037353516,0.03389692306518555,0,20,-1,-1,-1
20,10,4,0.8,0.020690619945526123,0.017911911010742188,0.022969484329223633,0,20,-1,-1,-1
20,10,4,0.9,0.02101738452911377,0.01897597312927246,0.023937225341796875,0,20,-1,-1,-1
